건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20160107,,,20170918,,20170919,86,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100011145
,,,,,,,,0,0,0,,,,,,20160121,20160128,,,20160202,20160122,87,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011245
,,,,,,,,0,0,0,,,,,,20160217,,,,,20160218,88,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011325
,,,,,,,,0,0,0,,,,,,20160223,,,,,20160224,89,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011406
,,,,,,,,0,0,0,,,,,,20160229,,,20170908,,20170909,90,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011445
,,,,,,,,0,0,0,,,,,,20160309,,,,,20160310,91,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011485
,,,,,,,,0,0,0,,,,,,20160318,,,20160421,,20160422,92,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011545
,,,,,,,,0,0,0,,,,,,20160323,,,,,20160324,93,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011586
,,,,,,,,0,0,0,,,,,,20160328,,,20170915,,20170918,94,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011625
,,,,,,,,0,0,0,,,,,,20160412,,,,,20160413,95,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011705
,,,,,,,,0,0,0,,,,,,20160420,20160428,,,20160503,20160421,96,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011765
,,,,,,,,0,0,0,,,,,,20160427,,,20160526,,20160527,97,서울특별시 광진구 구의동 546-7번지,11215,10300,0,0546,0007,11215-100011805
